Entry_no,SubStructure,ESI_adduct,SubStructure_type,Abbrev_name,name,IUPAC,SMILES,formula,monoisotopic_mass,Neut.loss,frag,pos,neg,mass.shift,ref
20,1,0,diglucuronide,[DiAnhyGLN],[DiAnhydroGlucuronide],"(2S,3S,4S)-3,4,5-trihydroxy-3,4-dihydro-2H-pyran-2-carboxylic acid;(2S,3S,4S)-3,4,5-trihydroxy-3,4-dihydro-2H-pyran-2-carboxylic acid",O[C@H]1[C@H](O)C(O)=CO[C@@H]1C(O)=O.O[C@H]1[C@H](O)C(O)=CO[C@@H]1C(O)=O,C6H8O6.C6H8O6,352.064176,1,0,1,1,352.06418,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
21,1,0,diglucuronide,[DiGLN],[DiGlucuronide],"(2S,3S,4S,5R,6R)?3,4,5,6?tetrahydroxyoxane?2?carboxylic acid;(2S,3S,4S,5R,6R)?3,4,5,6?tetrahydroxyoxane?2?carboxylic acid",O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O.O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O,C6H10O7.C6H10O7,388.08531,1,0,1,1,352.06418,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
166,1,0,dihydroxy compounds,[H2O+H2O],[H2O+H2O],,,H4O2,36.0211284,1,0,0,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
22,1,0,disulfate,[DiSulf SO3],[Disulfate SO3],sulfonylideneoxidane.sulfonylideneoxidane,O=S(=O)=O.O=S(=O)=O,O3S.O3S,159.9136301,1,0,1,1,159.913634,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
158,1,0,ethanolaminoanthraquinones,[OCH3],[OCH3],,,CH3O,31.018498,1,0,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
82,1,0,ethyl derivatives,[C2H5],[C2H5],,,,29.03912516,1,0,1,1,46.0419,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
98,1,0,ethyl derivatives,[EtOH],[EtOH],,,C2H6O,46.0419,1,0,1,1,46.0419,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
99,1,0,ferulic acid,[Feruloyl],[Feruloyl],,,,176.0473441,1,0,1,1,0.0,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
152,1,0,fluorides,[HF],[HF],,,HF,20.0062278,1,0,0,0,20.0062278,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
103,0,1,formate,[Formate],[Formate],,,CH2O3,46.0054793,1,0,1,1,46.0054793,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
104,0,1,formate,[Formate-],[Formate-],,,CH2O2,44.9982033,0,1,0,1,46.0054793,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
105,0,1,formate,[Formate+],[Formate+],,,CH2O4,47.0127553,0,1,1,0,46.0054793,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
100,0,1,formate_na,[Formate_Na],[Formate_Na],,,CH2O2Na,67.987424,1,0,1,1,67.987424,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
101,0,1,formate_na,[Formate_Na-],[Formate_Na-],,,CH2O2Na,66.980148,0,1,0,1,67.987424,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
102,0,1,formate_na,[Formate_Na+],[Formate_Na+],,,CH2O2Na,68.9947,0,1,1,0,67.987424,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
106,1,0,gallic acid,[Galloyl],[Galloyl],,,,152.0109586,1,0,1,1,0.0,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
257,1,0,gamma-glucys,[gamma-GluCys],[gamma-GluCys],,,C8H14N2O5S,250.0623394,1,0,1,1,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
3,1,0,glucose,[AnhydroGlucose],[AnhydroGlucose],"(3R,4R)-6-methyl-3,4-dihydro-2H-pyran-2,3,4,5-tetrol",CC1=C(O)[C@H](O)[C@@H](O)C(O)O1,C6H10O5,162.0528234,1,0,1,0,180.06339,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
108,1,0,glucose,[Glucose],[Glucose],,,,180.06339,1,0,1,1,0.0,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
7,1,0,glucuronide,[AnhyGLN_177],[AnhydroGlucuronide CDHOOD],"[(4R,5S,6S)-6-carboxy-4,5-dihydroxyoxan-3-yl]oxidanyl",[O]C1CO[C@@H]([C@@H](O)[C@@H]1O)C(O)=O,C6H9O6,177.039913,1,0,0,1,176.03209,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
8,1,0,glucuronide,[AnhyGLN_85],[AnhydroGlucuronide DHFO],"4,5-dihydrofuran-3-olate",[O-]C1=COCC1,C4H5O2,85.02950298,0,1,0,1,176.03209,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
