database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	P01-Ltu	P01-LN	P02-Ltu	P02-LN	P03-Ltu	P03-LN	P04-Ltu	P04-LN	P05-Ltu	P05-LN	P06-Ltu	P06-LN	P07-Ltu	P07-LN	P08-Ltu	P08-LN	P09-Ltu	P09-LN	P10-Ltu	P10-LN	P11-Rtu	P11-RN	P12-Rtu	P12-RN	P13-Rtu	P13-RN	P14-Rtu	P14-RN	P15-Rtu	P15-RN	P16-Rtu	P16-RN	P17-Rtu	P17-RN	P18-Rtu	P18-RN	P19-Rtu	P19-RN	P20-Rtu	P20-RN	P21-Rmu	P21-RN	P22-Rmu	P22-RN	P23-Rmu	P23-RN	P24-Rmu	P24-RN	P25-Rmu	P25-RN	P26-Rmu	P26-RN	P27-Rmu	P27-RN	P28-Rmu	P28-RN	P29-Rmu	P29-RN	P30-Rmu	P30-RN
HMDB0028800				Glutaminylisoleucine	260.15725				3.571												0.081095913	0.004815071	0.003678998	0.006960891	0.043792368	0.009568543	0.068739375	0.053073853	0.051679746	0.010368424	0.064288071	0.01414448	0.061735827	0.051223496	0.060832372	0.056481458	0.045091815	0.015251088	0.043039081	0.016313886	0.254093006	0.019369286	0.084150063	0.063189269	0.135990082	0.030808596	0.014673012	0.02450506	0.057628751	0.027127016	0.013467349	0.008496615	0.04343393	0.239579086	0.127045916	0.039528051	0.021835421	0.027985939	0.156996262	0.03018414	0.029698937	0.03168595	0.056966575	0.011814592	0.084882442	0.004919515	0.038665416	0.186644423	0.161067811	0.156847024	0.048251064	0.006311655	0.054145224	0.065163452	0.147149796	0.018181807	0.530678398	0.247832807	0.241971009	0.149929151
HMDB0028801				Glutaminylleucine	260.1573				4.613												0.028103638	0.004359189	0.002388988	0.001690408	0.004359449	0.003773729	0.016686946	0.022253654	0.014932568	0.036671292	0.015047985	0.053345687	0.020548278	0.028326172	0.012797492	0.045171304	0.010179143	0.011487068	0.012217056	0.008189902	0.02049091	0.014236844	0.019255576	0.022246539	0.028461118	0.026731469	0.014858693	0.002167024	0.013929638	0.181229753	0.002328383	0.002099343	0.015420781	0.048605245	0.029277379	0.040363711	0.028224909	0.013195195	0.027054439	0.025049261	0.013197817	0.036664986	0.0091501	0.008253815	0.020515475	0.002072016	0.012732794	0.161819324	0.050237785	0.096114934	0.024717429	0.044039124	0.023075881	0.056093149	0.083876115	0.071657766	0.064133364	0.29167873	0.042527004	0.097266187
HMDB0028807				Glutaminylthreonine	248.12093				7.535												0.159377936	0.002737522	0.006827716	0.001093651	0.137982064	0.026348078	0.242204824	0.049920635	0.074190186	0.010361048	0.070538003	0.012146158	0.100111323	0.06125507	0.110005573	0.059329721	0.080964431	0.06735286	0.053092263	0.031747911	0.137051811	0.030451402	0.194846633	0.094835691	0.065750252	0.024070883	0.031014464	0.001394875	0.102693631	0.005730421	0.003359913	0.001561347	0.058369274	0.176561101	0.47842211	0.057876758	0.028163323	0.027672157	0.409141914	0.032066202	0.024430055	0.021433051	0.065162441	0.01251613	0.037017244	0.00088604	0.088908807	0.167527823	0.118211075	0.091360277	0.067467304	0.004489446	0.061474954	0.026987144	0.174923684	0.006282381	0.41285036	0.030312876	0.09247961	0.043535993
HMDB0028817				Glutamylglutamine	276.11555				8.231												0.010336731	0.094476594	0.006314936	0.00226172	0.119217598	0.109392798	0.026265561	0.103240875	0.026148191	0.107818653	0.047425762	0.147980101	0.045069364	0.058578695	0.03964708	0.116581045	0.090552029	0.149435432	0.012765985	0.013043359	0.067090022	0.091297036	0.028306408	0.030363991	0.042180669	0.111945947	0.012639535	0.006514145	0.012448253	0.132282883	0.009965102	0.030501454	0.299276602	0.163292871	0.045551651	0.051489719	0.034383912	0.009839095	0.090680113	0.132595926	0.029416132	0.02422799	0.085040057	0.063493763	0.019030191	0.01108326	0.024672334	0.073384942	0.043189893	0.050284507	0.054585897	0.054218527	0.049520766	0.128048296	0.088776817	0.141787977	0.054370061	0.095932635	0.066332311	0.06132855
HMDB0028829				Glutamylthreonine	249.10494				7.419												0.032403854	0.004807421	0.008940358	0.002701695	0.016792604	0.011074745	0.026882412	0.01561686	0.032814907	0.008354145	0.019588796	0.008381939	0.016579747	0.014643611	0.012310201	0.013578661	0.014739031	0.010936448	0.015782773	0.008402051	0.058986314	0.01033264	0.046336464	0.022407487	0.016013906	0.010273807	0.006423515	0.002423471	0.018018352	0.006446547	0.002002317	0.002352495	0.020504606	0.051821225	0.036629575	0.015293962	0.018058818	0.017706214	0.043512485	0.012490804	0.008462837	0.01069637	0.008609327	0.004561212	0.019373417	0.004665665	0.032361419	0.037714647	0.035461559	0.028658557	0.025256018	0.005141574	0.024482564	0.021702163	0.025520043	0.005596035	0.101690792	0.036948171	0.026052752	0.029837933
HMDB0011649				Glycerophosphoinositol	335.06921				8.85												0.122282717	0.005885768	0.145543993	0.074304093	0.06671458	0.040598506	0.170157028	0.046798603	0.115948962	0.007758994	0.115845618	0.006028239	0.344227367	0.032980293	0.168703335	0.044536526	0.080873977	0.03558287	0.153794535	0.041843739	0.096761209	0.02077521	0.115397006	0.038728714	0.058809676	0.024248699	0.30626467	0.032818089	0.258404381	0.006160164	0.06559113	0.045575022	0.008865902	0.01097064	0.193483836	0.037050429	0.01676584	0.352079395	0.103497939	0.051036325	0.126985577	0.064791702	0.066006688	0.014504632	0.044850479	0.002909522	0.079951552	0.030573932	0.21053019	0.044776273	0.146582501	0.004964592	0.079053773	0.038352831	0.053570408	0.009988132	0.095502925	0.016697179	0.06919527	0.031956609
HMDB0000123				Glycine	76.03807				6.09												0.807698451	0.126212559	0.304458608	0.172428631	0.41013568	0.211567953	0.836215817	0.518869926	1.070464206	0.151327131	0.840118191	0.166446403	0.756590847	0.249080039	0.548648965	0.285533895	0.460758514	0.276311611	0.829003585	0.307177278	0.596806499	0.205951542	0.6720395	0.473920264	0.290389308	0.126746555	0.318975191	0.074372393	0.77822254	0.106172251	0.12570661	0.142624114	0.352078896	0.401591687	0.757463856	0.267713732	0.104050267	0.393370098	0.55165885	0.284356399	0.548532032	0.237455396	0.216636132	0.114358749	0.170390099	0.028600939	0.626236673	0.330539086	0.373871745	0.174164836	0.61187803	0.06788883	0.227309879	0.213048401	0.215231169	0.099268542	0.398362839	0.150000716	0.323077726	0.165608172
HMDB0028843				Glycyl-Histidine	213.09515				9.144												0.10806321	0.002720081	0.037823202	0.022670936	0.046009899	0.043134588	0.118092416	0.097455328	0.039358417	0.025364236	0.038529559	0.036874781	0.05099891	0.019865806	0.049260925	0.05197664	0.051478249	0.081804995	0.056896175	0.033673558	0.161665791	0.028339248	0.067059246	0.046073545	0.032054569	0.016586214	0.043963268	0.010878779	0.060849087	0.018710517	0.024494189	0.038921237	0.110528973	0.166413938	0.147018952	0.036740995	0.027739686	0.07201975	0.130762475	0.033276196	0.02854776	0.027164703	0.056172546	0.021372131	0.100376744	0.029916028	0.018051896	0.118616571	0.082781959	0.083955875	0.082745345	0.047657839	0.042910597	0.048477677	0.040775254	0.007414906	0.248780176	0.128584342	0.131061469	0.206012026
HMDB0013222				Guanidinopropionic acid	132.07472				5.508												10.32050361	17.37305338	4.860442287	4.094536615	16.9300234	20.3071953	11.21788638	7.943959675	19.53325032	15.8206581	12.63311335	10.39983867	10.6390469	3.174189342	10.87339809	5.003559315	12.53977613	7.931972279	15.55240976	7.551161171	7.160401525	6.664886533	29.16111834	5.580577903	7.714736134	2.610624206	6.942304536	5.029257096	8.499434626	3.363803087	7.233495119	4.147525957	15.05946704	15.17986829	6.970176483	2.628517424	21.00473625	27.52338805	9.158246549	5.291905655	13.62911426	7.360953751	10.23979806	8.944429491	2.639208133	0.264522487	18.50260642	4.228327833	12.49956753	2.862154529	14.927201	2.645259076	12.43776744	5.474517262	7.554669587	12.78237708	12.21364115	6.842570308	1.148679283	4.421699954
HMDB0013238				Heptanoylcarnitine	274.19771				1.152												0.018187183	0.015059877	0.030934635	0.037947884	0.065079334	0.132166072	0.048153139	0.045781944	0.024600619	0.01272726	0.019865041	0.017900345	0.01762341	0.012999646	0.038464056	0.055802202	0.027721652	0.02617384	0.026148215	0.023238683	0.063807746	0.064402245	0.032753053	0.155935318	0.066888856	0.144603434	0.040496945	0.150924704	0.068257608	0.020191541	0.070742109	0.11693472	0.014209752	0.062075649	0.044933821	0.065566231	0.019901399	0.091575467	0.023694309	0.105992314	0.107645825	0.105123918	0.202326351	0.050883078	0.01356728	0.032689808	0.117792363	0.016311286	0.022753569	0.041324996	0.040816229	0.013327925	0.036695653	0.22869418	0.032304767	0.018071681	0.021273141	0.013462071	0.05750156	0.027578893
