database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	P01-Ltu	P01-LN	P02-Ltu	P02-LN	P03-Ltu	P03-LN	P04-Ltu	P04-LN	P05-Ltu	P05-LN	P06-Ltu	P06-LN	P07-Ltu	P07-LN	P08-Ltu	P08-LN	P09-Ltu	P09-LN	P10-Ltu	P10-LN	P11-Rtu	P11-RN	P12-Rtu	P12-RN	P13-Rtu	P13-RN	P14-Rtu	P14-RN	P15-Rtu	P15-RN	P16-Rtu	P16-RN	P17-Rtu	P17-RN	P18-Rtu	P18-RN	P19-Rtu	P19-RN	P20-Rtu	P20-RN	P21-Rmu	P21-RN	P22-Rmu	P22-RN	P23-Rmu	P23-RN	P24-Rmu	P24-RN	P25-Rmu	P25-RN	P26-Rmu	P26-RN	P27-Rmu	P27-RN	P28-Rmu	P28-RN	P29-Rmu	P29-RN	P30-Rmu	P30-RN
HMDB0000687				Leucine	130.08734				4.165												14.91390075	6.749581153	5.409104175	4.714251925	11.26678021	6.491919752	16.53782828	13.26341021	9.320806856	4.456796565	13.88975794	5.9966299	12.76842381	7.10711943	10.9806832	8.527561715	8.236198355	7.960077363	14.79692227	9.565029655	9.668075313	4.46219409	24.72558049	10.68298896	14.28395791	5.132458836	7.074910364	3.000883167	13.27338399	4.176275929	4.507041091	2.677726618	28.43511858	43.07552447	16.49003215	5.450053848	6.834729427	14.8741879	11.75742511	10.51828777	11.97140482	8.871816928	6.678293044	5.835945383	11.35385892	3.092789348	4.818530938	8.370597145	14.05300473	6.690718722	21.86713582	4.941356218	11.11839062	11.71808208	9.43374278	4.772935407	53.55729462	18.90323948	12.83764065	8.617288304
HMDB0028933				Leucylleucine	243.1705				1.278												0.044092663	0.001501452	0.000825557	0.000727094	0.028626753	0.007284001	0.042248855	0.09617034	0.023242614	0.003267605	0.045996935	0.010615735	0.061315893	0.072456615	0.039897719	0.190013837	0.025708867	0.02514788	0.041553005	0.006808582	0.074024612	0.023336772	0.038652279	0.051076799	0.068777554	0.051344784	0.010799056	0.005130804	0.043015896	0.011665212	0.007745755	0.001060567	0.001778906	0.073913563	0.090121381	0.054597381	0.014836243	0.08540349	0.005277146	0.01427358	0.031805294	0.068333617	0.021811207	0.013611672	0.028937238	0.000402939	0.030969978	0.114962008	0.13388099	0.104025368	0.0482559	0.005744572	0.091354026	0.095485079	0.009885546	0.004435751	0.196580684	0.072529451	0.119699002	0.109582223
HMDB0007851				LysoPA(0:0/18:1(9Z))	435.25083				0.925												0.271611811	0.025315168	0.191255976	0.266224881	0.471435998	0.13397854	0.740280862	0.292263851	0.26567762	0.041400772	0.468123339	0.075130614	0.360305554	0.12001929	0.176860244	0.227654378	0.286943507	0.437770091	0.180375723	0.350824929	0.083794853	0.132542014	0.204952116	0.250790245	0.093629031	0.15115832	0.472171379	0.228896007	0.184629365	0.02845128	0.401422047	0.431552133	0.108472534	0.210403601	0.360758256	0.233895583	0.059503516	0.307824928	0.209447823	0.556477711	0.177462745	0.227658391	0.23491194	0.168205931	0.093994579	0.033650114	0.106416652	0.177671909	0.484317042	0.136171749	0.444265267	0.025407287	0.212773113	0.338060014	0.125147697	0.046673674	0.179829809	0.08333324	0.146052225	0.14667512
HMDB0011129				LysoPE(0:0/18:0)	483.27182				0.798												0.022441415	0.004038112	0.046651302	0.021501406	0.021555627	0.012261572	0.023456698	0.02924154	0.010818875	0.004737444	0.034285932	0.004760542	0.053518588	0.013642805	0.008157335	0.018937551	0.022364721	0.038203232	0.018569768	0.011739297	0.027899439	0.003833801	0.033710639	0.01368565	0.016351373	0.003886364	0.097251789	0.024885954	0.027336764	0.00149048	0.054346811	0.061023006	0.011168603	0.026741282	0.054219616	0.015634511	0.007207742	0.051163928	0.033749201	0.034031063	0.034712225	0.025423501	0.045485327	0.006159757	0.005074949	0.013777477	0.009194979	0.008769831	0.037772571	0.028085505	0.043219282	0.011579981	0.009278985	0.01393189	0.008360961	0.009944814	0.037839318	0.00782182	0.064070566	0.011433269
HMDB0011130				LysoPE(18:0/0:0)	480.30852				1.297												0.005042544	0.002742603	0.177024575	0.111649621	0.038482604	0.159424721	0.052016517	0.068482705	0.005803652	0.027115869	0.016773922	0.008163703	0.152184135	0.078846909	0.070520783	0.09486083	0.137659531	0.091650437	0.131874246	0.009269968	0.187954348	0.101002525	0.247902863	0.077415862	0.118558362	0.029490806	0.339231807	0.307339134	0.122343996	0.026251694	0.414994167	0.378310815	0.105157355	0.404092655	0.239192629	0.108419736	0.054676939	0.055491616	0.48190756	0.108803497	0.182242631	0.147115306	0.352096623	0.028498937	0.00990322	0.071547291	0.162186384	0.13888202	0.057962722	0.144676136	0.10291574	0.01003389	0.057621505	0.03601554	0.011904318	0.007354002	0.384311881	0.072835211	0.354469507	0.069603962
HMDB0240602				LysoPG(18:1(9Z)/0:0)	509.28721				0.776												0.135119259	0.004826259	0.098903397	0.075336317	0.061511911	0.036295247	0.069071365	0.088282458	0.063329845	0.015275188	0.091834445	0.016397086	0.171534695	0.030829041	0.04657275	0.074203756	0.077448247	0.140405731	0.073161053	0.011595373	0.033728114	0.024723679	0.05627692	0.049683471	0.068812907	0.032761685	0.151778733	0.069422972	0.14970407	0.009496599	0.050761213	0.068964115	0.010888831	0.03868663	0.271500358	0.10493972	0.013358939	0.146240084	0.095594603	0.053036225	0.069640549	0.065739022	0.053459674	0.006987071	0.025060245	0.014386056	0.067626444	0.073424949	0.104837898	0.076292093	0.073595989	0.01207212	0.081913164	0.101503125	0.053051314	0.010524758	0.062120653	0.030025488	0.193199821	0.077300384
				LysoPI(0:0/16:0)	571.28768				1.302												0.006542418	0.00263055	0.056766329	0.020660067	0.005006514	0.007408576	0.008501616	0.009811589	0.005566536	0.000662531	0.025728076	0.002876925	0.08786702	0.014828606	0.025035391	0.006069169	0.002085229	0.005480837	0.023985625	0.008890611	0.007430271	0.001487541	0.081594642	0.006987755	0.006533642	0.002415127	0.053855477	0.008187377	0.013489979	0.00129514	0.021189798	0.015421416	0.002844494	0.003724205	0.004822219	0.024270803	0.004758995	0.037509838	0.00750128	0.022697245	0.042511937	0.002932354	0.009086296	0.004017439	0.003092275	0.004286396	0.005894841	0.002388227	0.056167803	0.012751242	0.09399425	0.009623943	0.014225105	0.014735723	0.005341134	0.007024895	0.07705602	0.004764819	0.057680966	0.014012256
HMDB0061704				LysoPI(0:0/18:0)	599.31916				1.275												0.01412951	0.002425833	0.14760734	0.023297873	0.005093496	0.000634384	0.010127928	0.008504915	0.016825949	0.006586723	0.030979559	0.002879148	0.165882675	0.007435014	0.036754225	0.002095342	0.011023003	0.007277486	0.027912787	0.008488899	0.017666885	0.001305853	0.049166514	0.017506068	0.015250954	0.005392073	0.107358166	0.014714195	0.025813676	0.004739474	0.054599705	0.035401897	0.057575193	0.030728926	0.09347608	0.022792575	0.007174178	0.12697093	0.06893547	0.02305629	0.042111336	0.024728835	0.016196307	0.003970168	0.017618627	0.017333905	0.007122094	0.012030669	0.081635097	0.031440507	0.101791495	0.009695582	0.021145564	0.015034078	0.020663688	0.007165124	0.275107441	0.014002294	0.32755204	0.042581719
				LysoPI(0:0/18:1(9Z))	597.30343				1.3												0.035454124	0.00217719	0.062066698	0.010796593	0.004143671	0.012198566	0.025715606	0.013826978	0.004607176	0.00084881	0.003987448	0.00234356	0.122123885	0.011750667	0.037219785	0.010631343	0.016104622	0.007582888	0.0826507	0.007358488	0.010875356	0.004110266	0.096636179	0.009010289	0.013086612	0.007741531	0.073593163	0.014805433	0.04463882	0.000633001	0.022951932	0.012924529	0.007358477	0.007076393	0.004588086	0.011644481	0.003935887	0.007838437	0.046662352	0.018785509	0.033161699	0.008663438	0.006865637	0.003325057	0.008147544	0.003686113	0.006955734	0.009612606	0.006183108	0.007748363	0.035612768	0.007965313	0.027708338	0.012196865	0.004420621	0.005814196	0.05426982	0.004101132	0.047766334	0.002154204
				LysoPI(0:0/20:4(5Z,8Z,11Z,14Z))	619.28764				1.299												0.027424278	0.001991356	0.064236076	0.010976791	0.003789988	0.008666891	0.033696696	0.045660236	0.01203977	0.006433988	0.04645812	0.00876064	0.059292795	0.015744616	0.038365022	0.024185329	0.012088637	0.012723684	0.078751544	0.006730292	0.023104696	0.005365073	0.045201649	0.019798937	0.026277341	0.001828278	0.071559787	0.00974886	0.025764363	0.005243455	0.028528951	0.008897312	0.015731631	0.019102077	0.112298386	0.019826578	0.00340895	0.004103653	0.034367356	0.017182071	0.056410303	0.037444891	0.016969568	0.003041247	0.020538776	0.001619605	0.020687132	0.020415591	0.005654552	0.016019925	0.028140558	0.007285433	0.020935843	0.011124209	0.021131938	0.005317925	0.025954539	0.012963563	0.086068142	0.039695378
