database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	P01-Ltu	P01-LN	P02-Ltu	P02-LN	P03-Ltu	P03-LN	P04-Ltu	P04-LN	P05-Ltu	P05-LN	P06-Ltu	P06-LN	P07-Ltu	P07-LN	P08-Ltu	P08-LN	P09-Ltu	P09-LN	P10-Ltu	P10-LN	P11-Rtu	P11-RN	P12-Rtu	P12-RN	P13-Rtu	P13-RN	P14-Rtu	P14-RN	P15-Rtu	P15-RN	P16-Rtu	P16-RN	P17-Rtu	P17-RN	P18-Rtu	P18-RN	P19-Rtu	P19-RN	P20-Rtu	P20-RN	P21-Rmu	P21-RN	P22-Rmu	P22-RN	P23-Rmu	P23-RN	P24-Rmu	P24-RN	P25-Rmu	P25-RN	P26-Rmu	P26-RN	P27-Rmu	P27-RN	P28-Rmu	P28-RN	P29-Rmu	P29-RN	P30-Rmu	P30-RN
HMDB0007879				PC(34:1)	760.58314				13.276												6.769423566	1.396695219	0.256782074	0.741268782	1.127888802	1.826488054	0.529505152	0.261708915	0.436239998	0.68475424	0.348585026	0.227417695	5.653717106	0.265733639	0.450925814	0.102988395	0.383016124	0.564201194	0.842989771	0.50058512	0.223149045	0.209563918	0.252702957	1.831317536	0.156418357	0.110084997	0.118214657	0.028312999	0.183679012	0.028658172	0.507544345	0.62582235	0.358579245	0.15151525	0.177706615	0.730982678	1.556826026	0.460323435	0.279553785	3.344720755	1.232217592	0.086926484	0.313895738	0.079697088	0.369000746	0.703022451	1.1502442	0.526807151	0.205999911	0.166572848	0.294498725	0.090151397	0.408040433	0.720637082	1.054334147	0.149416146	1.888635028	1.11818595	0.04008957	0.545903037
HMDB0007881				PC(34:3)	756.55159				12.623												3.5154129	0.067146631	0.073968993	0.078709541	0.446399016	0.489954798	0.169228515	0.047107558	0.336004858	0.049155824	0.090774627	0.043891508	1.125009427	0.093678105	0.16047918	0.026312675	0.131294569	0.131806386	0.242085292	0.112597889	0.11861615	0.065422583	0.081453975	0.82340012	0.0608409	0.04351564	0.02086076	0.001350543	0.093363868	0.01242576	0.071351489	0.139038859	0.043159171	0.01945054	0.026096871	0.07132068	0.304732003	0.044551213	0.061838159	0.53135654	0.262901284	0.015532879	0.067934555	0.019464578	0.097974399	0.055642111	0.224396798	0.117139325	0.05097661	0.049066111	0.096392304	0.020230522	0.104026709	0.126597798	0.338616924	0.022906559	0.524658682	0.161661557	0.015833822	0.065443532
HMDB0007887				PC(36:1)	788.61415				13.795												0.714893581	0.206252849	0.007764605	0.046694735	0.039849055	0.062500409	0.056090234	0.007150523	0.016060477	0.015545262	0.025727025	0.014818137	0.527613421	0.005409068	0.020280581	0.00584231	0.019893268	0.033945325	0.046828726	0.035092835	0.004424258	0.007079186	0.016492715	0.108523449	0.010142592	0.002302236	0.009935034	0.001427413	0.005179452	0.001413961	0.057076819	0.040852432	0.045708334	0.011232886	0.011301278	0.059367571	0.127475316	0.04609073	0.014958377	0.259812128	0.127143701	0.003810533	0.018718584	0.004044451	0.019305755	0.059446272	0.114647134	0.034197914	0.011576763	0.009114223	0.020944826	0.004170896	0.032461072	0.063003465	0.12033793	0.011739335	0.216885363	0.080045845	0.004218259	0.044039376
HMDB0007921				PC(36:3)	784.583				13												6.338538362	0.598642262	0.332109884	0.774374751	1.332837865	2.781320205	0.506695609	0.378067993	0.58872632	0.55835739	0.300086492	0.19979552	3.563105015	0.491191239	0.501598226	0.179697773	0.483151402	0.725248556	0.886126606	0.724240734	0.380791758	0.385302205	0.258721702	2.852424763	0.15710175	0.221308493	0.117228351	0.029106078	0.151061581	0.05610655	0.32689352	0.738673557	0.277791823	0.12970845	0.107007806	0.590104195	0.893768239	0.370390384	0.21887943	3.069480158	0.775508256	0.117142815	0.345470458	0.131201318	0.383046466	0.314021736	0.827956182	0.713809513	0.212044685	0.301290362	0.211673531	0.091211996	0.346948551	0.829174956	0.638740124	0.146701928	1.732737974	1.254456521	0.056130385	0.520174613
HMDB0008020				PC(38:3)	834.59596				13.427												0.584343999	0.036274756	0.007115048	0.016202002	0.01636459	0.023526929	0.037356957	0.007178243	0.009726587	0.016184071	0.007498191	0.003836938	0.359308314	0.005209714	0.018446323	0.003794277	0.008528829	0.01686318	0.029614215	0.014686034	0.010950763	0.005401653	0.007650041	0.093658641	0.004530472	0.002142952	0.004744013	0.001295439	0.005548326	0.0014065	0.020047905	0.017921851	0.012690862	0.00561789	0.004334246	0.026394354	0.075408794	0.007042355	0.006874902	0.062740445	0.042851385	0.001909507	0.007704545	0.00239718	0.01325332	0.020259955	0.04004894	0.035462762	0.013695484	0.007152703	0.014690635	0.003610328	0.025602102	0.037788806	0.025388434	0.0044925	0.108479225	0.088225824	0.004206126	0.016458417
HMDB0007991				PC(38:6)	806.56706				12.657												1.324406655	0.082163438	0.04691711	0.203883147	0.404020248	0.78037491	0.095306647	0.075867278	0.080387745	0.173422852	0.073468711	0.082578068	0.861732284	0.14856712	0.178647548	0.028934309	0.114179854	0.151191931	0.25138303	0.154838912	0.084578704	0.050016164	0.063210266	1.549705929	0.043400964	0.066204566	0.019109825	0.004297691	0.025807298	0.012114635	0.114018279	0.116291415	0.106614887	0.042443394	0.021135985	0.101740204	0.138826042	0.057915971	0.072228875	0.618692803	0.388570413	0.048165791	0.13852992	0.067772401	0.104945737	0.023547456	0.117486846	0.089199452	0.110885493	0.157375754	0.039999386	0.013718871	0.063616281	0.108778739	0.16899867	0.023832595	0.525888016	0.205405168	0.010370084	0.168556796
HMDB0013404				PC(O-32:1)	740.55486				13.121												0.818423971	0.006072043	0.007811051	0.004411195	0.017416535	0.021273385	0.005654939	0.007479869	0.009944495	0.016230969	0.005088853	0.001587853	0.108313551	0.005399417	0.015738707	0.001113476	0.004287156	0.003208716	0.013765825	0.004241357	0.00437533	0.004064606	0.011873677	0.024658107	0.002358562	0.002234098	0.001619195	0.001370068	0.01072265	0.001470415	0.002054173	0.002022657	0.001152453	0.001201138	0.005357667	0.004097306	0.051941375	0.006366234	0.007281454	0.014178883	0.057297107	0.001902043	0.002427241	0.002368672	0.009585468	0.003417933	0.010586286	0.0039363	0.001765676	0.001783635	0.004056574	0.001337567	0.014512521	0.00486281	0.034411235	0.00139066	0.068430577	0.008669759	0.00449716	0.003090716
HMDB0013412				PC(O-34:1)	768.58536				13.596												1.042891242	0.033582314	0.00711988	0.039146577	0.034894008	0.036102601	0.011321932	0.007281826	0.009148631	0.01669108	0.014814753	0.004310578	0.325486624	0.005045541	0.031667473	0.007295025	0.020099726	0.031225531	0.04667865	0.01840779	0.005849753	0.006610577	0.01331906	0.13590352	0.004370552	0.002180886	0.004692242	0.001334792	0.010047828	0.001353355	0.017963911	0.034465974	0.016237274	0.008123399	0.013301553	0.052214047	0.132330763	0.023507733	0.016082639	0.222972425	0.09532506	0.001779538	0.014560504	0.002163751	0.029794045	0.043683587	0.070871119	0.037154162	0.009387409	0.010214194	0.011329492	0.003249668	0.024889762	0.064420527	0.08263581	0.005700321	0.197010213	0.043739743	0.005565931	0.029841708
HMDB0011151				PC(O-34:2)	766.5699				13.224												1.493956485	0.016633579	0.006273676	0.057219725	0.102611999	0.119598943	0.013353863	0.018968929	0.040551171	0.015149748	0.020771048	0.00419755	0.33075804	0.021344715	0.063811093	0.010258328	0.031018053	0.043390752	0.078245822	0.030635577	0.018186167	0.01365506	0.026475564	0.235233698	0.006577448	0.013702087	0.010195368	0.001212469	0.016792142	0.008954249	0.016177775	0.055184957	0.005893291	0.003979496	0.007483077	0.055024069	0.187542424	0.005793236	0.026125094	0.343361497	0.039677675	0.004751337	0.011756879	0.003937698	0.066178376	0.076047167	0.057919923	0.053020602	0.015182958	0.020498102	0.032134945	0.004457936	0.02889903	0.078199677	0.113076194	0.00698039	0.248860883	0.076132329	0.009818233	0.035542191
HMDB0013409				PC(O-38:6)	792.58529				13.273												0.069564795	0.014474715	0.006232953	0.044417312	0.035420337	0.082794098	0.006954532	0.006241372	0.009721739	0.014725265	0.005280027	0.005898804	0.059726846	0.018761865	0.049539779	0.009573856	0.018990964	0.022371844	0.00344252	0.021873775	0.021290891	0.007165351	0.00339988	0.109048123	0.006308869	0.010738001	0.004082534	0.001150302	0.002831578	0.00123127	0.011039256	0.024247045	0.006250469	0.003936251	0.002033693	0.021706261	0.033427222	0.022002647	0.006449593	0.177821564	0.015588959	0.001636592	0.009769545	0.002027982	0.047617202	0.056241012	0.019552596	0.034186248	0.005310866	0.017188517	0.004421104	0.009203756	0.004402506	0.056042641	0.010169941	0.009762534	0.095346196	0.047591482	0.003783872	0.031581891
HMDB0000159				Phenylalanine	166.08596				3.508												4.878792637	1.844046891	2.802310657	2.414031861	4.311431514	2.797381438	7.408245679	6.887748664	4.591008508	2.700886429	6.51209422	3.592543432	6.620666025	3.251546594	6.09624588	4.712031882	5.09432922	4.234242791	8.30723772	4.279140104	5.927044534	2.494092489	12.8936837	6.256528125	5.139176751	2.416613863	3.8257964	2.016596409	6.889816659	2.764815044	2.239889423	1.56654111	18.80880473	12.16072983	8.18263294	3.399103598	5.34284516	2.729532492	6.567656609	4.075250968	8.288621922	5.506850133	3.590262757	2.864635732	5.373488906	2.1641324	2.612044267	4.487618003	6.065153663	3.499562047	11.6745896	2.649545148	5.405407011	4.037211103	4.859487213	2.017384355	23.03470815	9.175706616	6.768863615	5.747597496
